"failures","probs"
1345,"99.9184"
1346,"99.9189"
1347,"99.9194"
1348,"99.9199"
1349,"99.9204"
1350,"99.9209"
1351,"99.9214"
1352,"99.9219"
1353,"99.9224"
1354,"99.9229"
1355,"99.9234"
1356,"99.9239"
1357,"99.9244"
1358,"99.9248"
1359,"99.9253"
1360,"99.9258"
1361,"99.9262"
1362,"99.9267"
1363,"99.9272"
1364,"99.9276"
1365,"99.9281"
1366,"99.9286"
1367,"99.9290"
1368,"99.9295"
1369,"99.9299"
1370,"99.9304"
1371,"99.9308"
1372,"99.9312"
1373,"99.9317"
1374,"99.9321"
1375,"99.9325"
1376,"99.9330"
1377,"99.9334"
1378,"99.9338"
1379,"99.9342"
1380,"99.9346"
1381,"99.9351"
1382,"99.9355"
1383,"99.9359"
1384,"99.9363"
1385,"99.9367"
1386,"99.9371"
1387,"99.9375"
1388,"99.9379"
1389,"99.9383"
1390,"99.9387"
1391,"99.9391"
1392,"99.9395"
1393,"99.9398"
1394,"99.9402"
1395,"99.9406"
1396,"99.9410"
1397,"99.9413"
1398,"99.9417"
1399,"99.9421"
1400,"99.9425"
1401,"99.9428"
1402,"99.9432"
1403,"99.9435"
1404,"99.9439"
1405,"99.9443"
1406,"99.9446"
1407,"99.9450"
1408,"99.9453"
1409,"99.9457"
1410,"99.9460"
1411,"99.9464"
1412,"99.9467"
1413,"99.9470"
1414,"99.9474"
1415,"99.9477"
1416,"99.9480"
1417,"99.9484"
1418,"99.9487"
1419,"99.9490"
1420,"99.9493"
1421,"99.9497"
1422,"99.9500"
1423,"99.9503"
1424,"99.9506"
1425,"99.9509"
1426,"99.9512"
1427,"99.9516"
1428,"99.9519"
1429,"99.9522"
1430,"99.9525"
1431,"99.9528"
1432,"99.9531"
1433,"99.9534"
1434,"99.9537"
1435,"99.9540"
1436,"99.9543"
1437,"99.9546"
1438,"99.9548"
1439,"99.9551"
1440,"99.9554"
1441,"99.9557"
1442,"99.9560"
1443,"99.9563"
1444,"99.9565"
1445,"99.9568"
1446,"99.9571"
1447,"99.9574"
1448,"99.9576"
1449,"99.9579"
1450,"99.9582"
1451,"99.9584"
1452,"99.9587"
1453,"99.9590"
1454,"99.9592"
1455,"99.9595"
1456,"99.9597"
1457,"99.9600"
1458,"99.9603"
1459,"99.9605"
1460,"99.9608"
1461,"99.9610"
1462,"99.9613"
1463,"99.9615"
1464,"99.9618"
1465,"99.9620"
1466,"99.9622"
1467,"99.9625"
1468,"99.9627"
1469,"99.9630"
1470,"99.9632"
1471,"99.9634"
1472,"99.9637"
1473,"99.9639"
1474,"99.9641"
1475,"99.9644"
1476,"99.9646"
1477,"99.9648"
1478,"99.9650"
1479,"99.9653"
1480,"99.9655"
1481,"99.9657"
1482,"99.9659"
1483,"99.9661"
1484,"99.9663"
1485,"99.9666"
1486,"99.9668"
1487,"99.9670"
1488,"99.9672"
1489,"99.9674"
1490,"99.9676"
1491,"99.9678"
1492,"99.9680"
1493,"99.9682"
1494,"99.9684"
